B1,B4,B7,Ag,B,Al2O3,As,Au,Ba,Be,Bi,CaO,Cd,Co,Cr,Cu,F,Fe2O3,Hg,K2O,La,Li,MgO,Mn,Mo,Na2O,Nb,Ni,P,Pb,Sb,SiO2,Sn,Sr,Th,Ti,U,V,W,Y2,Zn,Zr,Gravity,Magnetic,type
1.311050402,1.938967594,1.207345736,-0.828384264,0.408426913,-0.275055899,0.043138352,-0.040448018,-0.243276143,0.124477752,-0.367006482,-0.031413956,-0.366907141,0.208674983,-0.001603417,-0.595219595,0.562012265,0.348530843,-0.06414814,0.377112007,0.265274854,-0.472130642,0.101615942,-0.424830342,-0.034886475,0.113394584,1.775896344,-0.025521737,0.282106566,-0.079969217,0.116477422,0.25268554,-0.061656472,0.000129547,0.326333571,1.111138229,0.607727322,-0.116144137,0.093069484,1.499111194,0.225351148,0.651661136,0.205409208,0.047622627,4
-0.717294374,-0.478837113,-0.893396347,-0.096004665,0.805574702,-0.36304619,1.130281167,-0.026498974,0.08401299,0.106511571,-0.371203997,0.770744815,0.450067522,0.216008546,0.423633206,-0.475660914,1.3269161,0.118832755,-0.065716669,1.23099423,0.888511144,-0.140445647,0.46187861,-0.317392817,0.021886071,-0.530590506,1.832473004,0.403325068,0.060686703,0.327725666,0.880611367,0.087366569,-0.029476906,-0.686434063,-0.032570376,0.461396601,-0.035148916,-0.481863333,0.151843587,1.34154201,0.732834688,0.4974329,0.022873344,0.142508992,4
-0.599010769,-0.327639567,-0.762161177,0.006878231,1.200985512,-0.34082312,1.401683924,-0.042507922,0.448040338,0.055239815,-0.379646403,1.14091149,1.130208893,1.235702804,1.013909438,-0.033660231,1.248077105,1.042573131,-0.065716669,0.764269536,0.981333233,0.489449538,1.092364863,0.217351447,0.347724643,-0.563410594,2.554140982,1.141591982,0.827905358,0.155975973,0.96721233,-0.069695868,-0.006113575,-0.660602391,-0.183115919,1.36974922,0.965297228,0.00980291,0.122205442,1.222982487,1.097607444,0.420178685,-0.036476067,0.206396563,4
0.008835532,0.31308546,0.147670708,-0.87583478,-0.360647093,-0.507970785,0.640944469,-0.079969696,-0.13832168,0.132310723,-0.327138607,-1.093321368,0.204223457,-1.144256571,-0.525302903,-1.079129858,-0.535832618,-1.313187698,-0.144172677,0.204240668,-1.333708307,-0.647996773,-1.043960427,-1.032380019,-0.259731641,-1.596174571,-0.221545577,-0.660336038,-1.188589066,-0.101950394,-0.250457206,1.157043964,-0.367403857,-1.179819711,0.107635606,-1.018724475,-0.476949615,-1.219921116,0.034998442,-0.68972982,-0.590375467,1.447648605,-0.657667627,-0.090895027,4
-1.026146008,-0.986671024,-1.094166569,-0.808988164,-0.479338221,-0.530136982,1.114594867,-0.077844012,0.140547512,0.122558669,-0.328894994,-1.118073525,0.297437633,-1.142883941,-0.630797512,-1.063079263,-0.467990146,-1.54956614,-0.145700347,0.252151362,-1.636504835,-0.590781579,-1.213950001,-1.134935058,-0.233626475,-1.664612701,-0.323853019,-0.867264949,-1.322738296,-0.007366072,-0.280095864,1.276751984,-0.359083884,-1.026069028,-0.109166993,-1.157787524,-0.748759785,-1.332739717,0.020890649,-0.814413343,-0.576562101,0.942409097,-0.653347125,-0.039424744,4
1.081054504,0.991101363,0.689750309,-0.791314493,0.376961835,-0.301180056,0.612535076,-0.02307487,0.363971212,0.002403714,-0.305620515,-0.071739637,0.016418117,-0.388344032,-0.324338625,-0.319619459,0.480382467,-0.013867023,-0.065716669,-0.19665387,0.03053038,-0.055133369,0.092757722,-0.346183605,0.16105472,-0.503873439,-0.331397537,-0.355746885,-0.023322963,0.00413828,-9.26E-05,0.345101234,-0.315889911,-0.060794982,0.118612706,-0.463375389,0.143373022,-0.604065236,0.48743212,0.307407107,-0.077134831,-0.390399259,0.148504707,-0.286332076,4
-0.190494246,-0.560877037,-0.830716863,-0.96986177,0.362243467,-0.287735885,0.542328153,0.119196437,0.001593169,0.039513527,-0.346946454,0.097267779,-0.082589765,-0.502204836,0.06144564,-0.541385461,0.719560768,0.055850269,-0.05641356,0.555722224,-0.186534894,-0.12036414,0.344382341,-0.275333855,0.471878808,-0.756058571,0.558583324,-0.250381541,0.04793565,-0.092261,0.380704916,0.23183926,-0.263457168,-0.450925819,0.037902254,-0.103021597,0.839411317,-0.487248424,0.42200176,1.381046952,0.387511092,0.547143317,0.186586351,-0.25934412,4
0.593682244,0.289354904,-0.661286382,-1.085385496,0.630507582,-0.283943942,0.064962345,0.035224286,-0.132436959,0.028821783,-0.367308755,0.578134313,-0.08483559,-0.43863328,-0.002780816,-0.697823588,0.687867504,0.102652129,-0.065716669,0.859008328,-0.088319865,-0.02109698,0.762707189,-0.198991614,0.347724643,-0.920634412,1.199576046,-0.299455947,0.535432037,-0.073546129,0.03251318,0.095662442,-0.253934644,-0.396687131,0.076115547,0.457572381,0.965297228,-0.295507199,0.48743212,1.793340965,0.7178415,0.903407844,0.169236883,-0.28597259,4
0.404209433,0.245961886,0.460088762,-0.833324636,-0.003356785,-0.383913376,-0.160508789,-0.042507922,-0.004331624,0.143928985,-0.39445158,-0.058340175,-0.388596711,-0.698954153,-0.433100895,-0.790068489,0.257336051,-0.65860633,-0.065716669,0.845474331,-0.014038388,-1.348517434,-0.768605879,-1.014855794,-0.08783851,0.210574347,1.294080657,-0.488593533,-0.512233588,-0.126512776,-0.141384337,0.437589842,-0.191979376,-0.412681996,-0.038626325,-0.323040491,0.965297228,-0.870399564,-0.124322565,1.538180712,-0.406265144,1.074876256,0.178012295,-0.081590713,4
-0.722770467,-1.21719643,-2.042193765,0.216928948,0.922085096,-0.351739295,1.498314467,0.006074708,-0.176473168,0.117510915,-0.364841225,0.842773691,0.21892553,-0.015611869,0.465369651,-0.624027649,1.590427417,-0.11485021,-0.065716669,1.373305633,1.129896189,0.012939409,0.571293055,-0.543841422,-0.150061817,-0.652716548,1.325581984,0.297227908,0.090174146,0.763326888,1.293270173,0.03904835,0.055841692,-0.588625502,0.220605396,0.133047929,-1.50047539,-0.617057202,0.213512111,1.373076851,0.895065713,0.51370691,0.04494501,0.058811982,4
