,X,Y,type,B1,B4,B7,Ag,B,Al2O3,As,Au,Ba,Be,Bi,CaO,Cd,Co,Cr,Cu,F,Fe2O3,Hg,K2O,La,Li,MgO,Mn,Mo,Na2O,Nb,Ni,P,Pb,Sb,SiO2,Sn,Sr,Th,Ti,U,V,W,Y2,Zn,Zr,Gravity,Magnetic
0,414000,4690000,0,13235,14102,14612,55.5708008,10.2467003,13.9951,2.1417699,0.348913,612.6749878,1.38316,0.082498,3.83337,79.2810974,11.9540005,45.8261986,29.3757992,339.3540039,4.6265402,10.1422005,2.35815,18.4813995,14.8322001,2.9623301,673.7219849,0.672499,4.3607202,6.9352798,22.8918991,866.0109863,7.3390698,0.221783,64.1776962,1.19358,486.1589966,4.1710701,4382.209961,1.54751,117.1819992,0.424991,16.6784,43.0723,139.0339966,-135.2389984,94.5328979
1,413000,4689000,0,12520,11902,11733,54,11,16.0799999,2.2,0.2,515,1,0.06,5.1999998,80,17.8999996,97,44,330,6.5,10,1.75,17,16.1000004,4.7800002,892,0.56,4.5599999,8.1000004,43.0999985,1127,5.5999999,0.18,55.3400002,1.3,573,1.6,6800,1.95,185,0.4,22.5,42,130,-135.0700073,129.1179962
2,414000,4689000,0,12726,12449,12880,55.0620995,10.2151003,14.842,2.4035201,0.346144,594.1690063,1.42559,0.119725,4.1562099,83.1736984,12.5471001,48.6867981,32.1194992,347.8439941,5.1034398,11.3540001,2.2737999,16.6450996,15.4083004,3.1175301,738.9589844,0.665761,4.3523502,7.57969,22.8332996,913.0750122,8.2309904,0.231472,61.280201,1.22922,513.9639893,4.45823,4780.839844,1.6676,136.9459991,0.479909,20.5487003,43.7444,134.2120056,-135.1909943,124.9509964
3,414000,4688000,0,12474,12133,12485,52.2859993,10.7077999,15.1869001,2.4982901,0.29248,640.6060181,1.51388,0.151773,3.67433,81.0698013,10.5288,38.3142014,29.2327995,356.0660095,5.03967,9.8924303,2.4238801,15.7139997,14.8106003,2.74441,740.7189941,0.705358,4.3660598,7.54986,19.0657997,876.2280273,8.2138996,0.252856,62.1679001,1.26428,497.9079895,3.94259,4461.640137,1.57038,124.9660034,0.508199,21.8925991,44.7851982,136.1779938,-134.7510071,156.6269989
4,415000,4688000,0,12174,11980,12176,52.0121002,8.92871,15.7788,2.1250701,0.361856,637.8499756,1.65439,0.200297,3.5420799,88.2068024,9.8509197,29.1735001,28.1313992,374.2460022,4.9540501,11.6220999,2.5752599,17.0779991,15.1475,2.39768,724.8120117,0.709902,4.4140201,7.9766598,15.1513004,842.572998,9.0879698,0.252493,63.2284012,1.2992001,435.0369873,4.5619602,4301.5,1.48043,120.935997,0.55036,22.5681,46.2268982,140.0670013,-134.3170013,164.8869934
5,414000,4687000,0,12120,12453,13095,48.4655991,10.7953997,15.3590002,2.53246,0.247381,678.1569824,1.54742,0.157618,3.2830901,78.7316971,8.6920605,28.7115002,27.2616997,369.1099854,5.0528998,9.0408096,2.55234,15.1989002,14.2625999,2.4047,746.3060303,0.745335,4.3779602,7.6697502,15.6033001,868.3189697,8.0300798,0.283953,62.5196991,1.28759,481.67099,3.2751801,4274.410156,1.49388,117.3420029,0.537057,23.1133995,45.7373009,137.6210022,-134.3939972,177.1150055
6,425000,4681000,0,11373,10394,12079,52,11,13.79,3.8,1,586,1.3,0.34,3.75,120,11,33.2999992,37.2000008,444,5.4099998,10,2.3,16.3999996,19,2.1900001,1000,0.52,4.2800002,14.3999996,14.8999996,973,6.6999998,0.2,60.5,1.1,356,2.4000001,4890,1.5,119,0.8,32.4000015,77,207,-129.2319946,249.5720062
7,426000,4681000,0,11349,10412,12617,53.4154015,12.9365997,13.9442997,5.1347899,2.0831599,577.7009888,1.45549,0.312532,3.8786399,90.4908981,11.9758997,39.3931999,39.3353004,483.5169983,5.52001,9.8568001,2.31479,17.2236996,21.5140991,2.3106999,970.9240112,0.602467,4.0266299,14.6618004,17.6380005,974.3779907,7.34338,0.1877,62.1805,1.15081,365.2109985,3.0502601,4701.169922,1.7379,121.8059998,0.822154,33.8639984,73.523201,199.1000061,-130.9490051,252.8569946
8,427000,4681000,0,11521,10643,12744,53,11.5,13.0799999,6.0999999,3.9000001,516,1.7,0.3,4,100,10.8999996,39.5999985,31.7000008,454,4.8600001,10,2.3599999,17,20.8999996,2.1099999,862,0.6,3.8099999,14.1000004,16.3999996,804,8.1999998,0.17,62.5600014,1.2,347,3.9000001,3960,2.0999999,103,0.79,35.9000015,61.7000008,219,-131.753006,251.4429932
9,428000,4681000,0,11530,10769,12746,54.6773987,13.3778,13.7869997,7.1901102,2.22171,584.6569824,1.57055,0.317841,3.60642,76.6903,11.8115997,40.1136017,39.6417999,499.4670105,5.5108399,9.79671,2.35636,17.1068993,23.3848,2.29375,951.2639771,0.673413,3.9126401,14.4335003,18.0877991,973.1560059,7.95754,0.189954,62.7957001,1.17562,356.4070129,3.5369599,4511.629883,1.87605,118.6539993,0.841242,34.2075005,70.2314987,191.1239929,-133.8760071,249.3009949
10,300000,4674000,0,12433,11449,14346,45.6451988,31.7138004,11.6431999,4.7427802,0.898286,537.4160156,1.92465,0.173219,4.0721798,72.5009995,8.8098402,44.8165016,12.5634003,445.1470032,3.4619501,23.4967995,2.85903,23.9302998,17.7931004,2.08729,482.5130005,1.04825,3.6317999,8.21418,18.0797997,523.8280029,13.9575996,0.511047,68.1576996,2.1321599,313.7099915,6.67904,3240.810059,1.71289,60.780201,0.85856,20.4641991,35.6777,170.2180023,-136.1820068,-73.6418991
11,301000,4674000,0,12511,11609,15299,46.9623985,35.8703003,11.6248999,5.09902,0.961137,486.7579956,1.92589,0.184659,4.5057302,79.6057968,9.4179802,50.3041992,13.7312002,438.0840149,3.61409,25.4034996,2.7427499,21.5986996,17.1557999,2.35149,488.2780151,2.5418,3.63113,8.5570097,20.7350006,566.2979736,12.7468004,0.584855,66.592598,2.0448599,337.4360046,6.5397,3439.590088,1.78851,66.8733978,0.926339,20.8484001,36.1330986,161.7720032,-136.1029968,-84.3915024
12,299000,4673000,0,13005,12506,13713,48,27,11.3000002,4,0.72,555,1.85,0.17,2.75,90,5.4000001,26,10.1000004,500,2.6400001,8,3,27,16.5,1.22,369,1.03,3.4200001,8,10.8000002,412,16,0.37,73.8899994,1.8,260,8,2445,1.39,44,0.73,20,30,170,-139.5379944,-97.6188965
13,300000,4673000,0,12918,11933,12046,52.1213989,31.9631996,11.2707005,4.7718801,0.987898,514.3670044,2.0037799,0.202479,3.30041,80.4718018,6.04884,33.6579018,10.6886997,426.1340027,2.7899001,14.8206997,3.20415,23.5217991,17.7215996,1.6093,379.3500061,2.58442,3.6196301,9.0641098,12.8905001,455.3720093,15.2694998,0.507899,70.1091003,2.1788299,305.2600098,8.1919899,2595.030029,1.83428,46.7859993,0.845916,21.2866993,29.7154999,157.4720001,-139.8840027,-109.3199997
14,301000,4673000,0,13179,13252,16091,67,44,11.3100004,6,1.8,506,2,0.21,3.8499999,110,5.4000001,31,11.3000002,440,2.79,14,3.1500001,23,16.8999996,1.73,341,1.59,3.8900001,9,11.8000002,515,12,0.68,68.0899963,1.9,393,9,2803,2.5,45,1.1,22,28,161,-139.1829987,-112.7590027
15,299000,4672000,0,12790,12227,15079,48.9846001,21.7415009,10.7278004,4.3760099,0.589215,471.3630066,2.16502,0.230594,2.4052501,64.0330963,4.8443999,28.1963997,9.4316101,353.321991,2.27563,11.6414003,3.60941,22.2087994,18.6714993,1.2611001,333.1350098,0.861965,3.50915,10.1548996,10.9687996,375.4419861,18.3684006,0.396326,70.660202,2.6891501,233.9530029,9.1621199,1967.530029,1.73607,35.3129005,0.692026,22.5571003,23.9911995,137.6029968,-141.7559967,-124.1780014
16,300000,4672000,0,12891,12272,13894,51.7128983,23.6051998,10.7280998,4.6677799,0.70026,453.8519897,2.2128799,0.258934,2.59162,63.2103996,4.67134,28.8565998,9.5462503,348.5599976,2.27636,14.2852001,3.6464901,21.1070995,19.6499996,1.34281,321.5690002,3.1939499,3.54354,9.4288702,10.0284996,377.9509888,18.0006008,0.46354,70.418602,2.7393799,259.8049927,9.2143898,1979.910034,1.8928,35.8199005,0.755677,23.1786995,24.3920994,134.3540039,-141.2769928,-123.598999
