X,Y,B1,B4,B7,Ag,B,Al2O3,As,Au,Ba,Be,Bi,CaO,Cd,Co,Cr,Cu,F,Fe2O3,Hg,K2O,La,Li,MgO,Mn,Mo,Na2O,Nb,Ni,P,Pb,Sb,SiO2,Sn,Sr,Th,Ti,U,V,W,Y2,Zn,Zr,Gravity,Magnetic,type
264835.8479,4642498.573,13593,14560,17600,58.8604012,19.8439007,11.6559,3.5513201,1.21689,798.6279907,1.47618,0.171117,2.1640899,45.3296013,4.83213,14.9863997,10.6007004,279.4649963,2.0402601,5.6781502,3.49195,20.7796001,14.2915001,0.850927,417.8739929,0.750634,3.0750699,7.7178798,7.2582302,293.980011,13.2559004,0.464314,74.3707962,1.70534,333.07901,7.3619099,1547.839966,2.0567701,34.9309998,0.754372,21.3062,42.2806015,93.1679993,-141.371994,60.1232986,4
265835.8479,4642498.573,13777,15120,18522,63.4249992,17.6921997,11.1584997,3.6533201,2.50226,813.3339844,1.43218,0.174954,1.91835,42.7865982,4.4786901,12.7538004,8.7865105,280.2780151,1.89832,6.21452,3.3696799,19.6254997,13.7396002,0.738272,378.7799988,0.751823,2.94151,7.2645302,6.7501101,276.9020081,13.5536003,0.432142,74.6828003,1.67071,290.3089905,7.0465298,1411.150024,2.0107701,31.4769993,0.748942,20.8540001,38.4604988,88.8945999,-141.3500061,68.0119019,4
266835.8479,4642498.573,13959,15796,19925,67.5423965,15.5304003,10.7299995,3.8777101,3.83303,829.0770264,1.39013,0.180628,1.79267,40.8810997,4.3248501,11.3711996,7.6683698,279.6069946,1.80111,6.6702399,3.2272899,18.6408997,13.4730997,0.683569,343.0549927,0.733748,2.8176501,6.8984599,6.5187898,283.2409973,14.0338001,0.409231,74.6789017,1.6294399,241.7669983,6.9334102,1351.430054,1.98457,29.3167992,0.74079,20.6278,34.8955002,88.1046982,-141.3480072,75.7806015,4
267835.8479,4642498.573,13908,15153,18378,66.928299,14.0839996,11.302,3.6214199,2.4354701,789.6489868,1.4,0.152896,2.0002899,38.1795006,4.1928802,10.3247995,7.5427999,253.5720062,1.83357,8.9281197,3.08217,18.4892006,13.5,0.69071,350.7489929,0.741436,3.0110099,6.7036099,6.0785599,287.9289856,14.3107004,0.407856,74.3811035,1.70595,252.423996,6.98211,1355.709961,2.02143,30.2604008,0.728571,20.7964001,34.6896019,82.6788025,-141.2369995,119.8440018,4
268835.8479,4642498.573,13949,15434,18925,66.8442001,12.4073,11.8776999,3.34167,1.18627,747.2769775,1.4037499,0.130272,2.2098,35.4604988,4.0313902,9.9372396,7.4092498,228.6390076,1.8645999,11.2721004,2.9200699,18.2388992,13.5177002,0.690513,354.3590088,0.739576,3.20228,6.4456301,5.9040399,282.3670044,14.4399996,0.399655,74.0679016,1.77732,264.5079956,6.87115,1332.609985,2.0478201,31.0289993,0.722906,20.7154007,34.8484993,79.018898,-141.2480011,122.4110031,4
269835.8479,4642498.573,13739,14928,17742,69.1753998,12.9188995,12.1878004,3.91401,0.967962,799.8900146,1.43928,0.136033,2.28215,37.6773987,4.4211602,11.0059996,8.74224,238.701004,2.0188601,8.7171402,2.9999399,19.2528992,14.8992004,0.776393,387.0920105,0.817487,3.25035,6.8105402,6.36759,309.1719971,15.6350002,0.481382,73.3572998,1.84304,290.0599976,7.1711998,1487.069946,2.0999701,34.5980988,0.794948,21.8955994,40.5862007,86.816803,-141.227005,110.151001,4
270835.8479,4642498.573,13546,14649,17733,72.6154022,13.6092997,12.5105,4.5397902,0.534877,849.177002,1.48256,0.139504,2.3284099,41.797699,4.8365002,12.3650999,10.2210999,254.2749939,2.1951399,6.2079301,3.1020401,20.3656006,16.3437004,0.855281,429.9930115,0.908186,3.3017299,7.2043099,6.8456001,325.9880066,17.3300991,0.572835,72.6781998,1.92275,314.0840149,7.4099302,1634.880005,2.15675,38.4440002,0.872806,23.2231998,47.3922997,94.3499985,-141.2949982,99.5110016,4
271835.8479,4642498.573,13704,15028,17353,76.4597015,13.7435999,12.6856003,4.7000599,0.561091,862.3809814,1.54283,0.170348,2.2850001,43.2857018,4.88205,13.2208004,10.9675999,271.6270142,2.2667601,5.2505898,3.1521001,20.6389999,16.9818001,0.904601,429.54599,0.861844,3.3474801,7.33568,7.3996301,320.9590149,17.1252995,0.59785,72.6390991,1.95657,319.1390076,7.0928602,1690.310059,2.1428499,40.5488014,0.894985,23.5461998,50.2673988,96.9981003,-141.5370026,67.7370987,4
272835.8479,4642498.573,13699,15144,17566,77.6875992,13.7812004,12.8582001,4.8165798,0.519292,868.5930176,1.62159,0.210264,2.2617199,43.5792999,4.9320302,13.8950005,11.5101004,290.1730042,2.33974,4.11303,3.2014699,21.0303001,17.6436005,0.979967,426.4450073,0.819074,3.42061,7.5610499,7.9181499,330.3210144,16.6009007,0.611818,72.4608994,2.0062399,320.6080017,7.0602899,1774.310059,2.1754601,42.3800011,0.921133,24.1273003,51.6673012,100.7949982,-141.5679932,52.6861,4
273835.8479,4642498.573,13789,15304,17754,75.0719986,12.9482002,12.9496002,4.5359101,0.391441,833.2700195,1.63928,0.211151,2.2771201,42.1795006,5.0998998,15.4313002,11.6570997,313.9859924,2.40674,3.6429999,3.1203799,21.3962994,17.4678993,1.04389,434.3160095,0.893561,3.4871199,7.6178598,8.0676804,328.8210144,15.9038,0.593567,72.4464035,2.1744599,311.7879944,7.1286201,1814.040039,2.18572,44.7984009,0.994595,23.9501991,50.3993988,105.0680008,-141.6080017,33.0191002,4
277835.8479,4642498.573,13198,14030,16317,69.285202,15.6742001,12.6253004,4.2179599,0.372825,707.1790161,1.69997,0.199648,2.0627999,38.9299011,5.3677802,17.5629997,10.4968004,391.8049927,2.4482,2.53564,2.8146501,20.0214005,15.5535002,1.16176,396.322998,0.97614,3.6117799,7.5535402,8.4854603,301.855011,11.9863005,0.445362,73.2869034,2.5483799,265.1400146,6.7284799,1776.040039,2.1749899,46.9846992,1.07187,22.9566994,42.1724014,99.4262009,-139.4069977,25.0862007,4
278835.8479,4642498.573,13339,14360,16343,68.5263977,16.8624001,12.6393003,3.8800399,0.419845,700.5,1.69286,0.208314,2.09624,37.5376015,5.18363,17.8316994,9.6373301,355.1990051,2.3884301,2.4295299,2.79933,19.8297005,14.7598,1.1129301,373.7820129,0.870349,3.61444,7.4661899,8.5662003,297.2369995,11.1120996,0.416049,73.4098969,2.46156,261.1690063,6.7927399,1745.790039,2.1494801,45.9196014,0.971363,22.9382,38.8153,98.8051987,-138.8320007,22.0333996,4
279835.8479,4642498.573,13551,14896,17306,65.6076965,17.7730007,12.8806,3.7536399,0.385367,711.9609985,1.72853,0.235349,2.4059601,39.4276009,5.3676901,18.9631996,9.8211403,343.6430054,2.4235301,2.2142799,2.6900499,20.4246998,14.7603998,1.16602,380.9570007,0.767214,3.6421199,7.69275,8.9925404,314.0629883,11.3070002,0.429993,72.861702,2.506,272.9580078,6.9927201,1838.150024,2.1428599,47.6306992,0.922893,23.1711006,40.2559013,102.6760025,-137.3480072,10.4970999,4
280835.8479,4642498.573,13557,14871,17294,62.7695007,18.7621002,13.1159,3.41466,0.34462,720.3309937,1.76803,0.251599,2.6927199,41.5196991,5.66397,20.2425995,10.2875996,331.3800049,2.4814899,2.1524899,2.59038,21.0037003,14.9115,1.22465,389.0209961,0.643081,3.6591001,7.9077201,9.4088898,329.4089966,11.6132002,0.440025,72.3238983,2.5446401,285.9020081,7.17765,1932.839966,2.12007,50.0223999,0.857924,23.5046997,42.111599,107.2180023,-136.7749939,-3.4031799,4
